type: KEYWORD, data: 0x0000000000000016, str: 's'
type: KEYWORD, data: 0x0000000000000004, str: 'u'
type: IDENTIFIER, data: 0x0000000000000007, str: 'sym_top'
type: OPERATOR, data: 0x000000000000003D, str: '='
type: INTEGER, data: 0x0000000000000000, str: '0'
type: SEPARATOR, data: 0x000000000000003B, str: ';'
type: KEYWORD, data: 0x0000000000000016, str: 's'
type: KEYWORD, data: 0x0000000000000004, str: 'u'
type: IDENTIFIER, data: 0x0000000000000009, str: 'sym_value'
type: SEPARATOR, data: 0x000000000000005B, str: '['
type: IDENTIFIER, data: 0x0000000000000006, str: 'MAXSYM'
type: SEPARATOR, data: 0x000000000000005D, str: ']'
type: SEPARATOR, data: 0x000000000000003B, str: ';'
type: KEYWORD, data: 0x0000000000000016, str: 's'
type: KEYWORD, data: 0x0000000000000004, str: 'u'
type: IDENTIFIER, data: 0x000000000000000B, str: 'sym_address'
type: SEPARATOR, data: 0x000000000000005B, str: '['
type: IDENTIFIER, data: 0x0000000000000006, str: 'MAXSYM'
type: SEPARATOR, data: 0x000000000000005D, str: ']'
type: SEPARATOR, data: 0x000000000000003B, str: ';'
type: KEYWORD, data: 0x0000000000000016, str: 's'
type: KEYWORD, data: 0x0000000000000004, str: 'u'
type: IDENTIFIER, data: 0x000000000000000C, str: 'sym_datatype'
type: SEPARATOR, data: 0x000000000000005B, str: '['
type: IDENTIFIER, data: 0x0000000000000006, str: 'MAXSYM'
type: SEPARATOR, data: 0x000000000000005D, str: ']'
type: SEPARATOR, data: 0x000000000000003B, str: ';'
type: KEYWORD, data: 0x0000000000000016, str: 's'
type: KEYWORD, data: 0x0000000000000001, str: 'u'
type: IDENTIFIER, data: 0x0000000000000008, str: 'sym_name'
type: SEPARATOR, data: 0x000000000000005B, str: '['
type: IDENTIFIER, data: 0x0000000000000006, str: 'MAXSYM'
type: SEPARATOR, data: 0x000000000000005D, str: ']'
type: SEPARATOR, data: 0x000000000000005B, str: '['
type: IDENTIFIER, data: 0x0000000000000006, str: 'MAXSTR'
type: SEPARATOR, data: 0x000000000000005D, str: ']'
type: SEPARATOR, data: 0x000000000000003B, str: ';'
type: KEYWORD, data: 0x0000000000000016, str: 's'
type: KEYWORD, data: 0x0000000000000004, str: 'u'
type: IDENTIFIER, data: 0x000000000000000C, str: 'data_segment'
type: OPERATOR, data: 0x000000000000003D, str: '='
type: INTEGER, data: 0x0000000000002000, str: '0'
type: SEPARATOR, data: 0x000000000000003B, str: ';'
type: KEYWORD, data: 0x0000000000000000, str: 'u'
type: IDENTIFIER, data: 0x0000000000000011, str: 'symtab_add_symbol'
type: SEPARATOR, data: 0x0000000000000028, str: '('
type: KEYWORD, data: 0x0000000000000001, str: 'u'
type: OPERATOR, data: 0x000000000000002A, str: '*'
type: IDENTIFIER, data: 0x0000000000000004, str: 'name'
type: SEPARATOR, data: 0x000000000000002C, str: ','
type: KEYWORD, data: 0x0000000000000004, str: 'u'
type: IDENTIFIER, data: 0x0000000000000002, str: 'dt'
